"id","messageTemplate","severity","paramCount","module","abortCurrent","abortLater","displayType","fixHint"
"10000","Error 上级类中的MetaClass没有绑定!!","Error","0","FileMeta","false","false","Direct",""
"10001","已添加了空间命名节点，不允许有重复名称的类节点再次添加","Error","0","FileMeta","false","false","Direct",""
"10002","Error 查到内部不是内部内，可能有相同成员","Error","0","FileMeta","false","false","Direct",""
"10003","Error 查到内部不是内部内，可能有相同成员","Error","0","FileMeta","false","false","Direct",""
"10004","命名空间中，已定义其它非命名空间的类型 !!","Error","0","FileMeta","false","false","Direct",""
"10005","类:","Error","0","FileMeta","false","false","Direct",""
"10006","类:","Error","0","FileMeta","false","false","Direct",""
"10007","类:","Error","0","FileMeta","false","false","Direct",""
"10008","类:","Error","0","FileMeta","false","false","Direct",""
"10009","Error 使用的强定制类节点的方式中，没有查找到相关的类，所以不允许定义该类，请先在工程中定义类","Error","0","FileMeta","false","false","Direct",""
"10010","Class 中，使用关键字，不允许使用Const","Error","0","FileMeta","false","false","Direct",""
"10011","查找接口类中的要实现的函数，实现失败函数名称","Error","0","FileMeta","false","false","Direct",""
"10012","Error 在类的值: ","Error","0","FileMeta","false","false","Direct",""
"10013","找到了已有命名空间而不是要继承的类!!","Error","0","FileMeta","false","false","Direct",""
"10014"," CheckExtendAndInterface 在判断继承的时候，发没的:","Error","0","FileMeta","false","false","Direct",""
"10015","CreateExpressNode FileMetaBaseTerm 为空 !!","Error","0","FileMeta","false","false","Direct",""
"10016","不允许使用If语句!!","Error","0","FileMeta","false","false","Direct",""
"10017","不允许使用Switch语句!!","Error","0","FileMeta","false","false","Direct",""
"10018","不允许使用Switch语句!!","Error","0","FileMeta","false","false","Direct",""
"10019","Error CreateExpressNode 创建表达项不能为符号","Error","0","FileMeta","false","false","Direct",""
"10020","Error CreateExpressNode 创建表达项不能为符号","Error","0","FileMeta","false","false","Direct",""
"10021"," Error VisitFileMetaExpress fileMetaNode 不是符号!!","Error","0","FileMeta","false","false","Direct",""
"10022"," Error VisitFileMetaExpress left and right都为空!!","Error","0","FileMeta","false","false","Direct",""
"10023","Error Optimaze don't support that ExpressType","Error","0","FileMeta","false","false","Direct",""
"10024","Error 连接串没有找到合适的节点  360!!!","Error","0","FileMeta","false","false","Direct",""
"10025","Error 数组不能超过三维!!","Error","0","FileMeta","false","false","Direct",""
"10026","Error 数组不能超过三维!!","Error","0","FileMeta","false","false","Direct",""
"10027","Parse Statement Error 在使用NewClassName的方式，后边不允许有其它的调用!","Error","0","FileMeta","false","false","Direct",""
"10028","Parse 使用[][][] 访问超过了数组的维度!","Error","0","FileMeta","false","false","Direct",""
"10029","Error 解析执行链出错","Error","0","FileMeta","false","false","Direct",""
"10030","解析嵌套expressList 的时候发生了问题!","Error","0","FileMeta","false","false","Direct",""
"10031","Error 使用NewClass方式，后边不允许跟其它变量相关内容!","Error","0","FileMeta","false","false","Direct",""
"10032","Meta Common Parse IteratorVariable----------------------------------------------------","Error","0","FileMeta","false","false","Direct",""
"10033","Error MetaStatements Parse  不允许使用其它连接符!!","Error","0","FileMeta","false","false","Direct",""
"10034","Error MetaStatements Parse  不允许使用其它连接符!!","Error","0","FileMeta","false","false","Direct",""
"10035","Error 定义原数据为空!! ","Error","0","FileMeta","false","false","Direct",""
"10036","Error 不能使用输入()中的内容 0号位的没有内容!!","Error","0","FileMeta","false","false","Direct",""
"10037","Error 不支持表达式类型!!","Error","0","FileMeta","false","false","Direct",""
"10038","Error 前边节点没有发现MetaBase!!","Error","0","FileMeta","false","false","Direct",""
"10039","Error 在Array.后边如果使用变量或者是数字常量，必须使用Array.$方式!!","Error","0","FileMeta","false","false","Direct",""
"10040","Error 不允许global的函数形式!!","Error","0","FileMeta","false","false","Direct",""
"10041","Error  不允许 使用global 只有第一位置可以使用This关键字","Error","0","FileMeta","false","false","Direct",""
"10042","Error 不允许new是非函数形式出现!!","Error","0","FileMeta","false","false","Direct",""
"10043","Error 没有前置定义类型!!","Error","0","FileMeta","false","false","Direct",""
"10044","Error 没有找到 关于类中","Error","0","FileMeta","false","false","Direct",""
"10045","Error 只有第一位置可以使用new关键字","Error","0","FileMeta","false","false","Direct",""
"10046","Error 不允许在成员变量中使用this关键字","Error","0","FileMeta","false","false","Direct",""
"10047","Error 不允许在输入变量中中使用this关键字","Error","0","FileMeta","false","false","Direct",""
"10048","Error 不允许this的函数形式!!","Error","0","FileMeta","false","false","Direct",""
"10049","Error 只有第一位置可以使用This关键字","Error","0","FileMeta","false","false","Direct",""
"10050","Error 不允许在成员变量中使用base关键字","Error","0","FileMeta","false","false","Direct",""
"10051","Error 不允许在输入变量中中使用base关键字","Error","0","FileMeta","false","false","Direct",""
"10052","Error 使用base没有找到父节点!!","Error","0","FileMeta","false","false","Direct",""
"10053","Error 不允许base的函数形式!!","Error","0","FileMeta","false","false","Direct",""
"10054","Error 只有第一位置可以使用base关键字","Error","0","FileMeta","false","false","Direct",""
"10055","Error 没有发该RetMC的类别MetaCommon","Error","0","FileMeta","false","false","Direct",""
"10056","Error 调用非静态成员，不能使用Class.Variable的方式!","Error","0","FileMeta","false","false","Direct",""
"10057","Error 不允许使用构造函数","Error","0","FileMeta","false","false","Direct",""
"10058","Error 调用非静态成员，不能使用Class.Variable的方式!","Error","0","FileMeta","false","false","Direct",""
"10059","不能使用Enum.metaVariable(2) 这样的格式!","Error","0","FileMeta","false","false","Direct",""
"10060","Error 不能使用Enum.xxxx未发现后续!","Error","0","FileMeta","false","false","Direct",""
"10061","没有推算出相当的类型","Error","0","FileMeta","false","false","Direct",""
"10062","Error 函数没有返回类型","Error","0","FileMeta","false","false","Direct",""
"10063","Error 暂不支持上节点的类型: ","Error","0","FileMeta","false","false","Direct",""
"10064","Error 函数调用与命名空间冲突!!","Error","0","FileMeta","false","false","Direct",""
"10065","Error 没有找到 关于类中","Error","0","FileMeta","false","false","Direct",""
"10066","Error 在InputParam 里边，构建函数，只允许 使用ClassName() 的方式, ","Error","0","FileMeta","false","false","Direct",""
"10067","Error 当前位置不允许有函数调用方式使用!!!","Error","0","FileMeta","false","false","Direct",""
"10068","Error 在InputParam 里边，构建函数，只允许 使用ClassName() 的方式, ","Error","0","FileMeta","false","false","Direct",""
"10069","Error 使用函数调用与当前节点不吻合!!","Error","0","FileMeta","false","false","Direct",""
"10070","Error 1 静态调用，不能调用非静态字段!!","Error","0","FileMeta","false","false","Direct",""
"10071","Error !! 非函数类型!!","Error","0","FileMeta","false","false","Direct",""
"10072","数组下标记超过了！","Error","0","FileMeta","false","false","Direct",""
"10073","非数组的处理！","Error","0","FileMeta","false","false","Direct",""
"10074","没有找到适合的访问节点的变量一类的！","Error","0","FileMeta","false","false","Direct",""
"10075","Error 没有发该RetMC的类别MetaCommon","Error","0","FileMeta","false","false","Direct",""
"10076","第一位的成员变量名称必须是个静态变量才可以哇!","Error","0","FileMeta","false","false","Direct",""
"10077","第一位的成员函数名称必须是个静态函数才可以哇!","Error","0","FileMeta","false","false","Direct",""
"10078","没有发现实体的模板类!!","Error","0","FileMeta","false","false","Direct",""
"10079","Error 设置notStatic时，没有找到相应的变量!","Error","0","FileMeta","false","false","Direct",""
"10080","已绑定过了继承类 : ","Error","0","FileMeta","false","false","Direct",""
"10081","已绑定过了继承类 : ","Error","0","FileMeta","false","false","Direct",""
"10082","没有发现继承类的类型!!! ","Error","0","FileMeta","false","false","Direct",""
"10083","没有找到接口相关的定义类!!","Error","0","FileMeta","false","false","Direct",""
"10084","严重错误，必须在接口类型中，要实现接口的函数","Error","0","FileMeta","false","false","Direct",""
"10085","Error MetaClass MemberVarAndFunc已有定义类: ","Error","0","FileMeta","false","false","Direct",""
"10086","Error MetaClass MemberVarAndFunc已有定义类: ","Error","0","FileMeta","false","false","Direct",""
"10087","Error MetaClass MemberVarAndFunc已有定义类: ","Error","0","FileMeta","false","false","Direct",""
"10088","没有找发现默认构造函数","Error","0","FileMeta","false","false","Direct",""
"10089","重复添加接口","Error","0","FileMeta","false","false","Direct",""
"10090","Error MetaData MetaDataMember已有定义类: ","Error","0","FileMeta","false","false","Direct",""
"10091","Error Data中不允许有Variable 和 Function!!","Error","0","FileMeta","false","false","Direct",""
"10092","Error Enum中不允许有Function!!","Error","0","FileMeta","false","false","Direct",""
"10093","Error 在Enum定义中，不允许使用Template模板的形式!","Error","0","FileMeta","false","false","Direct",""
"10094","Error Enum MetaMemberData已有定义类: ","Error","0","FileMeta","false","false","Direct",""
"10095","Warning 在enum : ","Error","0","FileMeta","false","false","Direct",""
"10096","Warning Enum Member Enum 成员第一位必须有=号","Error","0","FileMeta","false","false","Direct",""
"10097","Error Enum Member Enum 内允许使用const值类变量","Error","0","FileMeta","false","false","Direct",""
"10098","Error Enum Member Enum 内部int转byte出错","Error","0","FileMeta","false","false","Direct",""
"10099","Error Enum Member Enum 内部int转byte出错","Error","0","FileMeta","false","false","Direct",""
"10100","Error Enum Member Enum 内部int转byte出错","Error","0","FileMeta","false","false","Direct",""
"10101","Error Enum Member Enum 内部int转byte出错","Error","0","FileMeta","false","false","Direct",""
"10102","Error Enum Member Enum 内部int转byte出错","Error","0","FileMeta","false","false","Direct",""
"10103","Error Enum Member Enum 内部int转byte出错","Error","0","FileMeta","false","false","Direct",""
"10104","Error Enum Member Enum String成员必须有=号","Error","0","FileMeta","false","false","Direct",""
"10105","Error Enum Member Enum 内允许使用const值类变量","Error","0","FileMeta","false","false","Direct",""
"10106","Error Enum Member Enum 内允许使用string值类变量","Error","0","FileMeta","false","false","Direct",""
"10107","Error Enum Member Enum 动态成员第一位必须有=号","Error","0","FileMeta","false","false","Direct",""
"10108","Error Enum Member Enum 内允许使用data值类变量, 不允许其它类型","Error","0","FileMeta","false","false","Direct",""
"10109","Error Enum Member Enum 内允许使用data new 值类变量","Error","0","FileMeta","false","false","Direct",""
"10110","Error Enum Member Enum 成员第一位必须有=号","Error","0","FileMeta","false","false","Direct",""
"10111","Error Enum Member Enum 内允许使用data值类变量, 不允许其它类型","Error","0","FileMeta","false","false","Direct",""
"10112","Error Enum Member Enum 内允许使用data new 值类变量","Error","0","FileMeta","false","false","Direct",""
"10113","没有找到模板中定义的模板内容!","Error","0","FileMeta","false","false","Direct",""
"10114","Error 没有解析到Express的内容 在MetaMemberData 里边 372","Error","0","FileMeta","false","false","Direct",""
"10115","Error 在生成Data时，没有找到.","Error","0","FileMeta","false","false","Direct",""
"10116","Error 当前有循环引用数量现象，请查正!!","Error","0","FileMeta","false","false","Direct",""
"10117","Error ParseChildMemberData 命名有重名!!","Error","0","FileMeta","false","false","Direct",""
"10118","Error 重复的MetaMemberData的名称 在484","Error","0","FileMeta","false","false","Direct",""
