"id","module","logType","enableAssert","blockOnErrorAssert","abortCompilation","messageTemplate","paramCount","fixHint"
"10000","FileMeta","Error","true","true","false","Error 上级类中的MetaClass没有绑定!!","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10001","FileMeta","Error","true","false","false","已添加了空间命名节点，不允许有重复名称的类节点再次添加","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10002","FileMeta","Error","true","false","false","Error 查到内部不是内部内，可能有相同成员","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10003","FileMeta","Error","true","false","false","Error 查到内部不是内部内，可能有相同成员","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10004","FileMeta","Error","true","false","false","命名空间中，已定义其它非命名空间的类型 !!","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10005","FileMeta","Error","true","false","false","类:","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10006","FileMeta","Error","true","false","false","类:","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10007","FileMeta","Error","true","false","false","类:","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10008","FileMeta","Error","true","false","false","类:","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10009","FileMeta","Error","true","false","false","Error 使用的强定制类节点的方式中，没有查找到相关的类，所以不允许定义该类，请先在工程中定义类","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10010","FileMeta","Error","true","false","false","Class 中，使用关键字，不允许使用Const","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10011","FileMeta","Error","true","false","false","查找接口类中的要实现的函数，实现失败函数名称","0","检查函数签名、参数数量与静态/实例调用方式。"
"10012","FileMeta","Error","true","false","false","Error 在类的值: ","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10013","FileMeta","Error","true","false","false","找到了已有命名空间而不是要继承的类!!","0","检查类定义关键字、继承/接口与成员声明顺序。"
"10014","FileMeta","Error","true","false","false"," CheckExtendAndInterface 在判断继承的时候，发没的:","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10015","FileMeta","Error","true","false","false","CreateExpressNode FileMetaBaseTerm 为空 !!","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10016","FileMeta","Error","true","false","false","不允许使用If语句!!","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10017","FileMeta","Error","true","false","false","不允许使用Switch语句!!","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10018","FileMeta","Error","true","false","false","不允许使用Switch语句!!","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10019","FileMeta","Error","true","false","false","Error CreateExpressNode 创建表达项不能为符号","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10020","FileMeta","Error","true","false","false","Error CreateExpressNode 创建表达项不能为符号","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10021","FileMeta","Error","true","false","false"," Error VisitFileMetaExpress fileMetaNode 不是符号!!","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10022","FileMeta","Error","true","false","false"," Error VisitFileMetaExpress left and right都为空!!","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10023","FileMeta","Error","true","false","false","Error Optimaze don't support that ExpressType","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10024","FileMeta","Error","true","false","false","Error 连接串没有找到合适的节点  360!!!","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10025","FileMeta","Error","true","false","false","Error 数组不能超过三维!!","0","检查数组维度、下标范围和初始化格式。"
"10026","FileMeta","Error","true","false","false","Error 数组不能超过三维!!","0","检查数组维度、下标范围和初始化格式。"
"10027","FileMeta","Error","true","false","false","Parse Statement Error 在使用NewClassName的方式，后边不允许有其它的调用!","0","检查构造调用形式，确认是否允许在当前位置使用。"
"10028","FileMeta","Error","true","false","false","Parse 使用[][][] 访问超过了数组的维度!","0","检查数组维度、下标范围和初始化格式。"
"10029","FileMeta","Error","true","false","false","Error 解析执行链出错","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10030","FileMeta","Error","true","false","false","解析嵌套expressList 的时候发生了问题!","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10031","FileMeta","Error","true","false","false","Error 使用NewClass方式，后边不允许跟其它变量相关内容!","0","检查构造调用形式，确认是否允许在当前位置使用。"
"10032","FileMeta","Error","true","false","false","Meta Common Parse IteratorVariable----------------------------------------------------","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10033","FileMeta","Error","true","false","false","Error MetaStatements Parse  不允许使用其它连接符!!","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10034","FileMeta","Error","true","false","false","Error MetaStatements Parse  不允许使用其它连接符!!","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10035","FileMeta","Error","true","false","false","Error 定义原数据为空!! ","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
"10036","FileMeta","Error","true","false","false","Error 不能使用输入()中的内容 0号位的没有内容!!","0","根据错误位置检查语法与类型约束，必要时参考 DebugCode 输出链路定位。"
